Include;ConceptName;Synonyms;Symbol;Description;WordsDes;Definition;WordsDef;Instances;ClassAttributes;InstanceAttributes;TexSyn;TexAcr;TexDesc;TexDef;TexIns;TexCAT;TexIAT;TexName
1;Acquisition;;;An acquisition is, in economical terms, described as, in layman's terms, one company buying another. This is usually done using stocks - the buyer buys most of the target company's ownership stakes to assume control of it\footnote{For more information visit https://www.investopedia.com/terms/a/acquisition.asp}. Reasons for performing acquisitions are numerous, including to achieve economies of scale, greater market share, increased synergy, cost reductions, or new niche offerings.;64;An acquisition is the purchase of all or a portion of a corporate asset or target company\footnote{http://www.investinganswers.com/financial-dictionary/stock-valuation/acquisition-2224}.;17;;;;;;\item[\textbf{DES}] An acquisition is, in economical terms, described as, in layman's terms, one company buying another. This is usually done using stocks - the buyer buys most of the target company's ownership stakes to assume control of it\footnote{For more information visit https://www.investopedia.com/terms/a/acquisition.asp}. Reasons for performing acquisitions are numerous, including to achieve economies of scale, greater market share, increased synergy, cost reductions, or new niche offerings.;\item[\textbf{DEF}] An acquisition is the purchase of all or a portion of a corporate asset or target company\footnote{http://www.investinganswers.com/financial-dictionary/stock-valuation/acquisition-2224}.;;;;Acquisition
1;Action;Activity, Behaviour, Agent Action;C;An action is esentially an agent's response to tasks. Whereby tasks are created to be met or reached, an action is the atomic concept for achieving tasks. In the context of this document, an action is the building block of a process, and agents' ability to act towards its environment in general. Every action can be used to fulfill at least one task.;64;An action is the building block of agents' activities.;17;Attack, PickItem, GoToLocation, BrewPotion, MakeItem;;;\item[\textbf{SYN}] Activity, Behaviour, Agent Action;(C);\item[\textbf{DES}] An action is esentially an agent's response to tasks. Whereby tasks are created to be met or reached, an action is the atomic concept for achieving tasks. In the context of this document, an action is the building block of a process, and agents' ability to act towards its environment in general. Every action can be used to fulfill at least one task.;\item[\textbf{DEF}] An action is the building block of agents' activities.;\item[\textbf{INS}] Attack, PickItem, GoToLocation, BrewPotion, MakeItem;;;Action
1;Agent;Organisational Individual;A;An agent in the context of this document is a piece of software that can interact with its environment, act upon it, and, in case of an intelligent agent, reason upon their accessible knowledge. Indeed, an agent is \textit{anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.} \cite{Russell2010AImodern} In the organisational context of this document, a software agent is essentially a model of a real-life person.;64;A piece of software that can act upon its environment and perceive it.;17;;;;\item[\textbf{SYN}] Organisational Individual;(A);\item[\textbf{DES}] An agent in the context of this document is a piece of software that can interact with its environment, act upon it, and, in case of an intelligent agent, reason upon their accessible knowledge. Indeed, an agent is \textit{anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.} \cite{Russell2010AImodern} In the organisational context of this document, a software agent is essentially a model of a real-life person.;\item[\textbf{DEF}] A piece of software that can act upon its environment and perceive it.;;;;Agent
1;Artefact;;;An artefact is, as of yet, a somewhat undefined concept, in the context of specifying its domain. Essentially, an artefact can be anything that is not classified using the other classes of this ontology. Furthermore, an artefact can be phisically representative (e.g. a chair), or an unphisical concept (e.g. knowledge). Artefacts therefore represent various concepts that the agents can interact with, or that affect the given environment or the given system, i.e. objects forming the environment.;64;An artefact is an otherwise unclassified element of an organisation system.;17;;;;;;\item[\textbf{DES}] An artefact is, as of yet, a somewhat undefined concept, in the context of specifying its domain. Essentially, an artefact can be anything that is not classified using the other classes of this ontology. Furthermore, an artefact can be phisically representative (e.g. a chair), or an unphisical concept (e.g. knowledge). Artefacts therefore represent various concepts that the agents can interact with, or that affect the given environment or the given system, i.e. objects forming the environment.;\item[\textbf{DEF}] An artefact is an otherwise unclassified element of an organisation system.;;;;Artefact
1;Criteria of Organising;;;This concept comes from the OOVASIS ontology \cite{Schatten2014initialLSMAS,Schatten2014towardsLSMAS} where it represents varius criteria of organising agents within an organisation. One of the criteria is ..., another ... . Therefore, this concept determines what are the grounds for creating the given organisation in the first place, and governs the decision flow in the context of deciding which organisational features (starting from architecture) are most suitable for the given criteria of organising.;64;;17;;;;;;\item[\textbf{DES}] This concept comes from the OOVASIS ontology \cite{Schatten2014initialLSMAS,Schatten2014towardsLSMAS} where it represents varius criteria of organising agents within an organisation. One of the criteria is ..., another ... . Therefore, this concept determines what are the grounds for creating the given organisation in the first place, and governs the decision flow in the context of deciding which organisational features (starting from architecture) are most suitable for the given criteria of organising.;;;;;CriteriaofOrganising
0;Culture;;;;64;;17;;;;;;;;;;;Culture
1;Design Factor;;;Everything that influences the design of an organisation on a non-neglectable level is considered a design factor. Design factors can be internal and external, relative to the given organisation. \cite{Schatten2014towardsLSMAS}.;64;A design factor is an internal or an external factor with significant influence on the design of an organisation.;17;development of science and technology, human resources, market, size of organisation, strategy, etc.;;;;;\item[\textbf{DES}] Everything that influences the design of an organisation on a non-neglectable level is considered a design factor. Design factors can be internal and external, relative to the given organisation. \cite{Schatten2014towardsLSMAS}.;\item[\textbf{DEF}] A design factor is an internal or an external factor with significant influence on the design of an organisation.;\item[\textbf{INS}] development of science and technology, human resources, market, size of organisation, strategy, etc.;;;DesignFactor
1;Design Method;Organisational Design Method;;Every design method addresses a number of aspects of organisational architecture. A design method is esentially a common organisational design practice. \cite{Schatten2014towardsLSMAS};64;A design method is a common organisational design practice dealing with various aspects of organisational architecture.;17;business process reingeneering, kaizen, six sigma, lean management, knowledge management, etc.;;;\item[\textbf{SYN}] Organisational Design Method;;\item[\textbf{DES}] Every design method addresses a number of aspects of organisational architecture. A design method is esentially a common organisational design practice. \cite{Schatten2014towardsLSMAS};\item[\textbf{DEF}] A design method is a common organisational design practice dealing with various aspects of organisational architecture.;\item[\textbf{INS}] business process reingeneering, kaizen, six sigma, lean management, knowledge management, etc.;;;DesignMethod
1;Goal;;G;A goal is broadly defined as a result or achievement towards which effort is directed\footnote{http://www.dictionary.com/browse/goal}. In the context of this document, a goal is a form of an objective. A goal is an end to be met or reached, and can consist of several sub-goals.;64;A goal is a result towards which effort is directed - an end to be met.;17;;;;;(G);\item[\textbf{DES}] A goal is broadly defined as a result or achievement towards which effort is directed\footnote{http://www.dictionary.com/browse/goal}. In the context of this document, a goal is a form of an objective. A goal is an end to be met or reached, and can consist of several sub-goals.;\item[\textbf{DEF}] A goal is a result towards which effort is directed - an end to be met.;;;;Goal
1;Heterarchical Organisational Structure;;;When there is no single clear pyramid-like line of control in an organisation, the given organisation can be described as having a heterarchical organisational structure. As opposed to hierarchical organisational structure, heterarchical organisational structure can be visualised as an oriented forest \cite{Argente2007}, or essentially using a network-based visualisation \cite{Schatten2014towardsLSMAS}.;64;Heterarchical organisational structure is an organisational structude without a single clearly defined pyramid-like structure.;17;fishnet structure, Hollywood structure, spaghetti structure, etc.;;;;;\item[\textbf{DES}] When there is no single clear pyramid-like line of control in an organisation, the given organisation can be described as having a heterarchical organisational structure. As opposed to hierarchical organisational structure, heterarchical organisational structure can be visualised as an oriented forest \cite{Argente2007}, or essentially using a network-based visualisation \cite{Schatten2014towardsLSMAS}.;\item[\textbf{DEF}] Heterarchical organisational structure is an organisational structude without a single clearly defined pyramid-like structure.;\item[\textbf{INS}] fishnet structure, Hollywood structure, spaghetti structure, etc.;;;HeterarchicalOrganisationalStructure
1;Hierarchical Organisational Structure;;;In contrast to the heterarchical organisational structure, hierarchical organisational structure can be identified by its basic pyramid-like form fostering hierarchical relations between organisation units. Such an organisational structure can be visualised using an oriented tree \cite{Argente2007}. ;64;Hierarchical organisational structure is an organisational structude with a single clearly defined pyramid-like structure.;17;functional structure, project-oriented structure, matrix, etc.;;;;;\item[\textbf{DES}] In contrast to the heterarchical organisational structure, hierarchical organisational structure can be identified by its basic pyramid-like form fostering hierarchical relations between organisation units. Such an organisational structure can be visualised using an oriented tree \cite{Argente2007}. ;\item[\textbf{DEF}] Hierarchical organisational structure is an organisational structude with a single clearly defined pyramid-like structure.;\item[\textbf{INS}] functional structure, project-oriented structure, matrix, etc.;;;HierarchicalOrganisationalStructure
1;Human Immersed Agent;;;Humans can be represented within \iac{IVE} and be available for interaction with the digital agents within the environment using digital aids, most prominently featured as wearable technology items, such as smartwatches and similar. Such agents are dubbed human immersed agents, since they are real-life people represented in the digital world using their attached piece of wearable discreet equipment.;64;Real-world agents that are represented in \iac{IVE} using their wearable tecchnology gadgets.;17;;;;;;\item[\textbf{DES}] Humans can be represented within \iac{IVE} and be available for interaction with the digital agents within the environment using digital aids, most prominently featured as wearable technology items, such as smartwatches and similar. Such agents are dubbed human immersed agents, since they are real-life people represented in the digital world using their attached piece of wearable discreet equipment.;\item[\textbf{DEF}] Real-world agents that are represented in \iac{IVE} using their wearable tecchnology gadgets.;;;;HumanImmersedAgent
1;Hybrid Organisational Structure;;;Having mixed aspects of both heterarchical and hierarchical organisational structures, a hybrid organisational structure is a blend of the two. ;64;Having mixed aspects of both heterarchical and hierarchical organisational structures, a hybrid organisational structure is a blend of the two. ;17;academic structure, front-back structure, inverted structure, etc.;;;;;\item[\textbf{DES}] Having mixed aspects of both heterarchical and hierarchical organisational structures, a hybrid organisational structure is a blend of the two. ;\item[\textbf{DEF}] Having mixed aspects of both heterarchical and hierarchical organisational structures, a hybrid organisational structure is a blend of the two. ;\item[\textbf{INS}] academic structure, front-back structure, inverted structure, etc.;;;HybridOrganisationalStructure
1;Inhabitant Agent;;;Agents that can be phisically represented within \iac{IVE} are called inhabitant agents. These agents can be of artificial or real-world nature. Usually various \ac{IVE} artefacts exist within the \ac{IVE} that represent various inhabitant agents \cite{Rincon2014}. It could be said that these agents have their habitats within their respective \acp{IVE}.;64;Every agent that is can be represented as phisically present in an \ac{IVE} is considered an inhabitant agent.;17;Archmage, Hermit, Sorfina, mali\_agent13;;;;;\item[\textbf{DES}] Agents that can be phisically represented within \iac{IVE} are called inhabitant agents. These agents can be of artificial or real-world nature. Usually various \ac{IVE} artefacts exist within the \ac{IVE} that represent various inhabitant agents \cite{Rincon2014}. It could be said that these agents have their habitats within their respective \acp{IVE}.;\item[\textbf{DEF}] Every agent that is can be represented as phisically present in an \ac{IVE} is considered an inhabitant agent.;\item[\textbf{INS}] Archmage, Hermit, Sorfina, mali\_agent13;;;InhabitantAgent
1;Intelligent Virtual Environment;;IVE;Intelligent virtual environments are researched as an area on the intersection of two aspects pertaining to the concept of artificial intelligence, if only but marginally: intelligent tools and techniques that are embodied in autonomous agents (real-life and digital alike), and effective ways of representing them, along with various means of achieving different kinds of interaction amongst them \cite{Rincon2014a,Aylett2000}. In other words, \iac{IVE} is a concepte that represents a virtual environment whose main goal is simulating a segment of the real world, populated by artificial autonomous entities (agents). \cite{Rincon2014a};64;An intelligent virtual environment is a virtual environment that simulates the real world, and is populated by autonomous intelligent entities. \cite{Rincon2014a};17;modified version of The Mana World;;;;(IVE);\item[\textbf{DES}] Intelligent virtual environments are researched as an area on the intersection of two aspects pertaining to the concept of artificial intelligence, if only but marginally: intelligent tools and techniques that are embodied in autonomous agents (real-life and digital alike), and effective ways of representing them, along with various means of achieving different kinds of interaction amongst them \cite{Rincon2014a,Aylett2000}. In other words, \iac{IVE} is a concepte that represents a virtual environment whose main goal is simulating a segment of the real world, populated by artificial autonomous entities (agents). \cite{Rincon2014a};\item[\textbf{DEF}] An intelligent virtual environment is a virtual environment that simulates the real world, and is populated by autonomous intelligent entities. \cite{Rincon2014a};\item[\textbf{INS}] modified version of The Mana World;;;IntelligentVirtualEnvironment
0;IVE Artefact;Physical Artefact;;;64;;17;;;;\item[\textbf{SYN}] Physical Artefact;;;;;;;IVEArtefact
1;IVE Law;;;A special kind of a norm, an \ac{IVE} law is a norm that is constrained by its applicability to a specific physical space, i.e. a specific \ac{IVE} workspace. Being applicable to only a restricted area means that every \ac{IVE} law is valid only within the bounds of the given area (\iac{IVE} workspace), and never outside of that specified space. This kind of a norm is the key constraint of the concept of a situated organisational unit.;64;\Iac{IVE} law is a norm that is valid only within a specified physical space (\iac{IVE} workspace).;17;When a character is located on a map with at least 75\% of tiles of type Frozen, they are more suspectible to Damage of type Ice.;;;;;\item[\textbf{DES}] A special kind of a norm, an \ac{IVE} law is a norm that is constrained by its applicability to a specific physical space, i.e. a specific \ac{IVE} workspace. Being applicable to only a restricted area means that every \ac{IVE} law is valid only within the bounds of the given area (\iac{IVE} workspace), and never outside of that specified space. This kind of a norm is the key constraint of the concept of a situated organisational unit.;\item[\textbf{DEF}] \Iac{IVE} law is a norm that is valid only within a specified physical space (\iac{IVE} workspace).;\item[\textbf{INS}] When a character is located on a map with at least 75\% of tiles of type Frozen, they are more suspectible to Damage of type Ice.;;;IVELaw
1;IVE Workspace;;;Complimentary to the concept of a workspace, \iac{IVE} workspace represents a physical location, or a physically describable location. ;64;;17;;;;;;\item[\textbf{DES}] Complimentary to the concept of a workspace, \iac{IVE} workspace represents a physical location, or a physically describable location. ;;;;;IVEWorkspace
1;Knowledge Artefact;;KnArt;A knowledge artefact is a piece of knowledge, or a set of knowledge terms available to agents within the system or within the \ac{IVE}. Depending on the wanted level of abstraction, a knowledge artefact may represent a database containing various pieces of knowledge accessible by sets of agents, or individual pieces of knowledge. In the terms of rather undefined artefact class, knowledge artefacts are yet to be perfected in the context of knowledge representation and their suitability for representing knowledge of \iac{IVE} or \iac{MAS}.;64;Knowledge artefact is a piece of knowledge of an agent or an organisation.;17;organisational culture rulebook;;isAccessibleTo;;(KnArt);\item[\textbf{DES}] A knowledge artefact is a piece of knowledge, or a set of knowledge terms available to agents within the system or within the \ac{IVE}. Depending on the wanted level of abstraction, a knowledge artefact may represent a database containing various pieces of knowledge accessible by sets of agents, or individual pieces of knowledge. In the terms of rather undefined artefact class, knowledge artefacts are yet to be perfected in the context of knowledge representation and their suitability for representing knowledge of \iac{IVE} or \iac{MAS}.;\item[\textbf{DEF}] Knowledge artefact is a piece of knowledge of an agent or an organisation.;\item[\textbf{INS}] organisational culture rulebook;;\item[\textbf{IAT}] isAccessibleTo;KnowledgeArtefact
1;Manual;;;A manual defines the interface between individual agents and artefacts of \iac{IVE}. Including such a concept in the description of \iac{IVE} domain helps reduce unnecessary clutter in the context of setting ground-rules of how to use an artefact up front. The agents therefore immediately learn of the possibilities and applications of a given artefact without the need for exploring its possible uses.;64;;17;;;;;;\item[\textbf{DES}] A manual defines the interface between individual agents and artefacts of \iac{IVE}. Including such a concept in the description of \iac{IVE} domain helps reduce unnecessary clutter in the context of setting ground-rules of how to use an artefact up front. The agents therefore immediately learn of the possibilities and applications of a given artefact without the need for exploring its possible uses.;;;;;Manual
1;Merger;;;In standard economical terms, a merger is a combination of more than one company by the transfer of the properties to one surviving company\footnote{For more information visit http://www.dictionary.com/browse/merger}. In the context of this document, merger can simply be regarded as an organisational integration. ;64;A merger is the process of organisational integration.;17;;;;;;\item[\textbf{DES}] In standard economical terms, a merger is a combination of more than one company by the transfer of the properties to one surviving company\footnote{For more information visit http://www.dictionary.com/browse/merger}. In the context of this document, merger can simply be regarded as an organisational integration. ;\item[\textbf{DEF}] A merger is the process of organisational integration.;;;;Merger
1;Norm;;;Norms in general are not very different from the definition of a rule, their more generic counterpart. Used in a context of a population of a community, be it a natural or an artificial one, norms are expressions of desirable behaviour generally understood as rules indicating actions that are expected to be pursued. Norms are basically divided in three types: obligatory, prohibitive, and permissive. In the context of normative \acp{MAS} though, there are three different terms associated with norms: conventions, social norms, and social laws \cite{Mahmoud2014,Villatoro2011}, and two categories \cite{coleman1994foundations}: conventions and essential norms.;64;\textit{Norms are informal rules that are socially enforced.} \cite{Mahmoud2014};17;Formal Dress Code, The Dragon Egg item is usable for at most 23 hours after being laid.;;;;;\item[\textbf{DES}] Norms in general are not very different from the definition of a rule, their more generic counterpart. Used in a context of a population of a community, be it a natural or an artificial one, norms are expressions of desirable behaviour generally understood as rules indicating actions that are expected to be pursued. Norms are basically divided in three types: obligatory, prohibitive, and permissive. In the context of normative \acp{MAS} though, there are three different terms associated with norms: conventions, social norms, and social laws \cite{Mahmoud2014,Villatoro2011}, and two categories \cite{coleman1994foundations}: conventions and essential norms.;\item[\textbf{DEF}] \textit{Norms are informal rules that are socially enforced.} \cite{Mahmoud2014};;;;Norm
1;Normative System;;;A normative system is a system built on norms and their enfonrcement upon the system, or system's definition of architecture based on the said norms. In the context of computer science, a normative system is described as a system whose behaviour is influenced by norms, and whose description or specification depencds on using normative concepts \cite{Boella2006,Meyer1994}.;64;\textit{Systems in the behaviour of which norms play a role and which need normative concepts in order to be described or specified [\ldots]} \cite{Boella2006,Meyer1994};17;;;;;;\item[\textbf{DES}] A normative system is a system built on norms and their enfonrcement upon the system, or system's definition of architecture based on the said norms. In the context of computer science, a normative system is described as a system whose behaviour is influenced by norms, and whose description or specification depencds on using normative concepts \cite{Boella2006,Meyer1994}.;\item[\textbf{DEF}] \textit{Systems in the behaviour of which norms play a role and which need normative concepts in order to be described or specified [\ldots]} \cite{Boella2007};;;;NormativeSystem
